assortment_id;product_id;factory_code;model;name_rus;series;ean_13;rrp;net_weight_kg;gross_weight_kg
18;01;CB.002.0240.001;M40T;Котел газовый MIZUDO M40T (40 кВт, 2 Т/O) OPT;Maestro Lux;6961136583925;6299;34,25;37,25
19;01;CB.002.0350.0001;M44TL;Котел газовый MIZUDO M44TL (44 кВт, одноконтурный) OPT;Maestro one;6961136584021;7699;39,05;42,90
20;01;CB.002.0603.001;M24TH;Котел газовый MIZUDO M24TH (24 кВт, одноконтурный) OPT;Maestro one;6961136583970;4299;26,00;29,00
21;01;CB.002.0603.001.18;M18TH;Котел газовый MIZUDO M18TH (18 кВт, одноконтурный) OPT;Maestro one;6961136594501;;;
22;01;CB.002.0603.001.20;M20TH;Котел газовый MIZUDO M20TH (20 кВт, одноконтурный) OPT;Maestro one;6961136594518;;;
23;01;CB.002.0604.0002;M17TH;Котел газовый MIZUDO M17TH (17 кВт, одноконтурный) OPT;Maestro one;6961136583963;4099;;
24;01;CB.002.0604.0002.11;M11TH;Котел газовый MIZUDO M11TH (11 кВт, одноконтурный) OPT;Maestro one;6961136594471;4099;;
25;01;CB.002.0604.0002.13;M13TH;Котел газовый MIZUDO M13TH (13 кВт, одноконтурный) OPT;Maestro one;6961136594488;4099;;
26;01;CB.002.0604.0002.15;M15TH;Котел газовый MIZUDO M15TH (15 кВт, одноконтурный) OPT;Maestro one;6961136594495;4099;;
27;01;CB.002.0604.001;M17TL;Котел газовый MIZUDO M17TL (17 кВт, одноконтурный) OPT;Maestro one;6961136583956;3699;24,50;27,50
28;01;CB.002.0604.001.11;M11TL;Котел газовый MIZUDO M11TL (11 кВт, одноконтурный) OPT;Maestro one;6961136594532;3699;;
29;01;CB.002.0604.001.13;M13TL;Котел газовый MIZUDO M13TL (13 кВт, одноконтурный) OPT;Maestro one;6961136594549;3699;;
30;01;CB.002.0604.001.15;M15TL;Котел газовый MIZUDO M15TL (15 кВт, одноконтурный) OPT;Maestro one;6961136594556;3699;;
31;01;CB.002.0605.001;M36TH;Котел газовый MIZUDO M36TH (36 кВт, одноконтурный) OPT;Maestro one;6961136584007;5899;32,30;35,35
32;01;CB.002.0606.0001;M32TH;Котел газовый MIZUDO M32TH (32 кВт, одноконтурный) OPT;Maestro one;6961136583994;5599;32,35;35,40
33;01;CB.002.0606.0001.30;M30TH;Котел газовый MIZUDO M30TH (30 кВт, одноконтурный) OPT;Maestro one;6961136594525;;;
34;01;CB.002.0607.0001;M28TH;Котел газовый MIZUDO M28TH (28 кВт, одноконтурный) OPT;Maestro one;6961136583987;5399;;
35;01;CB.002.0640.001;M40TH;Котел газовый MIZUDO M40TH (40 кВт, одноконтурный) OPT;Maestro one;6961136584014;6199;32,70;35,80
36;01;CB.002.1635.0001;M36TK;Котел газовый конденсационный MIZUDO M36TK (36 кВт) OPT;Style Condens;6961136584038;8999;;
37;01;CB.033.0203.0001;M24T;Котел газовый MIZUDO M24T (24 кВт, 2 Т/O) OPT WiFi T8;Style Lux;6961136594327;5499;27,75;30,40
38;01;CB.033.0204.0001;M18HP;Котел газовый MIZUDO M18HP (16 кВт, 2 Т/O, PH) OPT;Lite Comfort;6961136584069;3599;22,60;23,60
39;01;CB.033.0204.0002;M17T;Котел газовый MIZUDO M17T (17 кВт, 2 Т/O) OPT WiFi T8;Style Lux;6961136594310;5199;25,30;28,80
40;01;CB.033.0206.0001;M30T;Котел газовый MIZUDO M30T (30 кВт, 2 Т/O) OPT WiFi T8;Style Lux;6961136594334;4099;33,80;36,80
41;01;CB.033.0224.0001;M22HP;Котел газовый MIZUDO M22HP (22 кВт, 2 Т/O, PH) OPT;Lite Comfort;6961136584076;3799;27,20;29,70
42;01;CB.033.0240.0001;M36T;Котел газовый MIZUDO M36T (36 кВт, 2 Т/O) OPT WiFi T8;Style Lux;6961136594341;7699;34,30;37,50
43;01;CB.033.0603.0001;M24TH;Котел газовый MIZUDO M24TH (24 кВт, одноконтурный) OPT WiFi T8;Style One;6961136594365;5399;26,00;29,00
44;01;CB.033.0606.0001;M30TH;Котел газовый MIZUDO M30TH (30 кВт, одноконтурный) OPT WiFi T8;Style One;6961136594372;6999;32,35;35,40
45;01;CB.033.0640.0001;M36TH;Котел газовый MIZUDO M36TH (36 кВт, одноконтурный) OPT WiFi T8;Style One;6961136594389;7599;32,30;35,35
46;01;CB.033.0650.0001;M44TH;Котел газовый MIZUDO M44TH (44 кВт, одноконтурный) OPT WiFi T8;Style One;6961136594396;9099;39,05;42,90
47;01;CB.033.1404.0001;M18TH;Котел газовый MIZUDO M18TH (16 кВт, одноконтурный, PH) OPT;Lite One;6961136584083;3499;21,85;23,90
48;01;CB.033.1404.0002;M17TH;Котел газовый MIZUDO M17TH (17 кВт, одноконтурный) OPT WiFi T8;Style One;6961136594358;5099;25,20;28,00
49;01;CB.033.1424.0001;M24TH;Котел газовый MIZUDO M24TH (22 кВт, одноконтурный, PH) OPT;Lite One;6961136584090;3699;26,40;29,00
50;01;CB.050.0204.0004;M17HP;Котел газовый MIZUDO M17HP (17 кВт, 2 Т/O, PH);Classic P;6961136583765;2160;;
51;01;CB.050.0204.0004.10;M10HP;Котел газовый MIZUDO M10HP (10 кВт, 2 Т/O, PH);Classic P;6961136594563;2160;;
52;01;CB.050.0204.0004.11;M11HP;Котел газовый MIZUDO M11HP (11 кВт, 2 Т/O, PH);Classic P;6961136594570;2160;;
53;01;CB.050.0204.0004.13;M13HP;Котел газовый MIZUDO M13HP (13 кВт, 2 Т/O, PH);Classic P;6961136594587;2160;;
54;01;CB.050.0204.0004.15;M15HP;Котел газовый MIZUDO M15HP (15 кВт, 2 Т/O, PH);Classic P;6961136594594;2160;;
